6,4,1,5,1,5,5,5,1,4,2,5,5,4,4,5,1,5,2,5,1,4,2,4,4,1,5,2,2,4,2,3,2,5,1,5,2,1,4,1,4
21,3,4,4,5,3,3,3,2,1,5,2,4,1,3,1,2,4,5,4,2,1,1,3,2,1,3,1,3,3,3,1,2,2,2,3,5,3,4,2,3
51,3,1,5,1,5,5,3,4,5,1,2,5,5,5,4,5,1,1,5,4,1,5,3,4,1,5,5,5,1,5,4,5,3,4,3,1,5,1,4,4
71,3,2,4,4,2,4,3,2,1,4,3,4,2,3,5,3,4,5,4,3,2,4,2,4,1,3,1,3,2,3,1,4,3,2,2,2,3,2,2,3
100,2,5,5,5,1,5,1,1,1,5,5,1,1,5,5,1,5,5,1,1,1,1,1,5,1,1,1,5,1,1,1,5,1,1,1,4,4,1,1,1
104,1,1,2,3,5,4,3,3,4,2,2,5,3,4,1,4,2,2,4,4,1,3,3,4,1,5,5,3,1,2,4,2,3,4,2,2,4,1,4,2
113,2,3,2,3,2,4,3,4,3,2,2,4,3,3,2,3,2,3,2,3,2,3,2,4,2,4,3,3,3,2,3,3,2,4,2,2,3,1,4,2
117,1,1,4,1,5,1,3,4,5,1,4,4,5,4,3,4,2,2,3,4,1,4,4,3,1,5,5,2,1,4,5,1,1,4,4,1,1,1,4,4
143,0,2,4,3,3,1,3,4,3,2,5,5,3,4,2,3,2,2,3,4,1,4,5,4,1,5,4,5,1,3,1,4,4,4,3,2,1,3,4,5
151,2,4,1,5,1,2,5,5,1,5,2,5,1,1,4,3,4,5,4,1,4,1,2,2,1,4,1,4,1,4,1,4,2,2,2,4,4,1,1,4
164,1,1,1,3,5,3,1,5,3,1,3,5,5,5,3,5,1,1,3,3,1,3,5,5,1,5,5,3,1,3,3,5,3,3,3,1,3,3,3,3
172,4,3,2,4,1,3,5,3,1,5,3,3,3,2,4,3,4,4,2,2,2,2,3,4,1,4,1,4,1,3,1,2,3,2,3,5,4,4,3,2
178,4,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
181,3,2,1,3,3,2,2,4,3,4,5,4,2,1,1,4,2,4,4,4,2,3,4,5,1,4,2,1,3,2,4,2,4,5,2,1,2,2,5,4
184,3,3,2,1,2,4,2,4,5,5,1,4,5,3,2,4,2,3,2,4,2,3,3,4,1,5,3,3,3,3,4,5,2,5,3,3,5,4,4,2
186,4,1,4,2,4,5,2,4,2,3,1,4,2,1,1,5,1,2,5,3,2,5,1,2,1,5,1,4,2,4,2,2,5,5,3,1,4,4,5,1
189,5,1,4,1,3,1,5,2,5,2,4,5,3,1,4,1,4,3,3,2,3,1,5,2,2,5,3,4,3,3,3,1,5,2,5,4,3,5,1,5
190,1,4,3,4,2,4,2,2,5,3,5,4,3,3,5,1,4,5,3,2,3,2,3,4,1,4,4,4,1,3,2,5,3,2,3,4,5,3,1,2
192,1,5,5,5,1,2,1,2,2,5,5,4,4,1,4,3,5,5,1,3,1,1,4,5,1,5,1,3,1,3,2,2,1,1,4,3,2,1,5,3
194,4,5,4,4,1,2,4,2,1,5,4,4,2,3,4,2,4,5,4,1,2,2,3,4,2,4,1,4,4,3,1,4,4,2,3,4,4,4,2,4
195,2,3,4,3,4,4,4,4,3,5,2,5,4,3,2,2,2,3,4,3,4,4,2,4,2,5,4,3,2,3,3,3,2,4,3,3,2,2,4,3
197,1,3,5,4,3,1,2,2,3,3,3,4,2,2,5,1,3,3,2,1,1,2,5,5,1,5,1,4,1,1,1,5,3,2,2,4,2,2,2,4
198,4,1,1,4,4,4,3,4,2,4,2,4,4,5,2,4,2,5,3,4,2,4,2,4,2,4,3,3,2,3,2,4,2,4,2,3,3,4,4,3
201,5,3,5,3,3,5,5,3,4,5,5,5,4,5,5,1,5,5,4,2,1,1,1,4,1,5,3,5,1,4,2,5,1,1,2,2,3,2,1,2
203,2,3,2,3,4,2,3,4,2,2,4,5,4,4,2,4,2,4,3,4,2,5,3,4,2,5,3,3,1,4,2,3,3,4,3,4,4,4,4,3
205,3,3,3,3,3,2,2,4,2,5,4,4,3,3,2,5,1,0,4,3,3,3,4,4,3,5,1,3,2,4,3,2,4,4,4,4,3,2,4,3
211,3,2,2,3,1,1,3,2,2,4,2,5,4,1,4,5,1,4,2,4,3,4,5,5,1,3,1,4,3,3,3,2,2,5,1,3,4,3,5,2
212,3,3,1,0,0,3,3,1,1,5,3,5,3,0,5,3,5,1,0,3,1,1,0,5,1,5,1,0,3,3,0,5,3,1,3,3,3,1,3,1
216,2,2,2,2,4,3,3,4,3,2,2,3,4,3,2,3,2,3,3,3,2,5,3,3,1,4,4,3,2,4,3,3,2,2,3,2,2,2,4,4
218,2,3,4,3,4,2,2,5,2,4,2,4,4,4,2,4,4,4,4,3,1,4,4,3,2,3,4,3,2,3,3,4,2,4,3,4,3,3,4,4
221,0,2,2,4,5,3,2,5,4,1,5,3,4,3,1,0,1,3,3,1,0,4,4,5,5,5,3,4,1,4,3,4,4,5,5,4,2,2,5,2
223,1,2,3,2,3,3,3,4,4,2,1,4,4,3,2,5,2,2,2,4,2,4,3,3,1,3,4,3,3,2,3,3,2,4,3,2,3,2,4,2
